t_name	SRR072893	SRR072915
FBtr0113895	6.315716	77.608521
FBtr0345179	119.325905	84.9366
FBtr0078962	0.0	144.459808
FBtr0078966	62.077541000000004	33.205692
FBtr0078985	99.437752	238.851013
FBtr0078967	22.42108	40.421634999999995
FBtr0078958	44.577831	16.746634
FBtr0078955	57.263374	83.06639100000001
FBtr0078953	31.764427	37.562794
FBtr0344740	41.346897	48.89447
FBtr0078909	53.574013	56.371502
FBtr0078949	28.281140999999998	45.517365000000005
FBtr0290222	45.693405	10.892235000000001
FBtr0078921	494.75430300000005	76.203209
FBtr0078946	77.661827	2.283409
FBtr0346646	90.975266	184.898956
FBtr0078944	103.20388	190.730637
FBtr0078925	66.47126	52.506516000000005
FBtr0078926	59.305099	62.458847
FBtr0078935	100.625885	7.058453999999999
FBtr0078928	51.453686	115.887901
FBtr0078894	69.292603	183.677979
FBtr0078856	39.161209	29.016486999999998
FBtr0078857	68.208504	20.671257
FBtr0078893	52.736743999999995	48.933853000000006
FBtr0078859	92.08078	105.332596
FBtr0078860	77.675377	34.959998999999996
FBtr0336462	82.21021999999999	56.084049
FBtr0078892	242.192657	367.691132
FBtr0302614	92.302238	0.0
FBtr0078868	80.044975	151.183777
FBtr0344030	67.486526	0.0
FBtr0078836	0.0	176.385742
FBtr0078837	64.113342	0.0
FBtr0306106	51.195812	21.831507000000002
FBtr0345141	64.912643	13.392403
FBtr0300525	57.93615	27.814333
FBtr0078828	46.030788	13.387332
FBtr0078827	55.334263	13.450698999999998
FBtr0078822	102.22126	257.283112
FBtr0078807	55.699978	17.045748
FBtr0078785	42.421516	25.391346
FBtr0078806	136.63089	236.15596000000002
FBtr0078805	115.37718999999998	199.420578
FBtr0078787	66.007324	200.496277
FBtr0078770	44.592495	10.396628999999999
FBtr0078769	954.192017	1699.380493
FBtr0078682	128.98938	235.863785
FBtr0078767	21.986845000000002	29.820713
FBtr0344635	21.986845000000002	29.820713
FBtr0336770	26.28355	32.996246
FBtr0078758	12.348996000000001	42.364964
FBtr0078688	54.603176	0.0
FBtr0078753	29.66054	28.270468
FBtr0078752	78.880989	27.443098
FBtr0078751	54.852940000000004	118.90043600000001
FBtr0078700	217.41426099999998	144.095749
FBtr0078744	83.737808	178.92158500000002
FBtr0078750	39.232803000000004	14.537605
FBtr0078746	156.413773	42.069496
FBtr0078747	37.930363	53.374413
FBtr0078748	291.325958	278.490356
FBtr0078749	70.54827900000001	21.010288
FBtr0078745	110.14583600000002	235.34730499999998
FBtr0078743	65.88157700000001	75.925774
FBtr0078741	61.775814000000004	46.197136
FBtr0078704	51.812149	107.31444499999999
FBtr0078705	1310.891479	2191.13208
FBtr0335215	40.152367	99.70148499999999
FBtr0078708	78.79001600000001	28.007113
FBtr0078734	50.424309	17.62644
FBtr0339320	47.78159	33.712070000000004
FBtr0334953	40.023029	21.112276
FBtr0078732	46.870937	24.724575
FBtr0078712	30.368771000000002	64.537598
FBtr0078730	55.658936	116.37286399999999
FBtr0078713	40.470585	25.336826000000002
FBtr0078716	42.625595000000004	19.048513
FBtr0078727	91.159248	0.0
FBtr0078721	64.83048199999999	46.995888
FBtr0078723	44.233906	19.392670000000003
FBtr0078678	83.933357	151.620163
FBtr0078625	40.886955	28.251257
FBtr0078670	148.10418700000002	17.471949
FBtr0078629	235.683563	69.334175
FBtr0078630	72.523811	101.798599
FBtr0078667	44.340858000000004	62.479507
FBtr0078638	33.864792	16.662477
FBtr0078652	173.738281	0.0
FBtr0078650	306.99176	471.158234
FBtr0301947	1.394221	56.870975
FBtr0081737	120.362747	228.838348
FBtr0334545	21.403313	58.848358
FBtr0303013	20.828764000000003	57.26865
FBtr0081719	53.783168999999994	214.09855699999997
FBtr0081728	75.110573	65.423164
FBtr0346140	46.845093	74.487778
FBtr0301623	60.393173	96.030403
FBtr0081687	116.95916000000001	113.106026
